排名,av_id,标题,当前值,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),评论数,时间跨度(小时),最早评论时间,总增长%,日均增长%,增量均值%,数据点数量,发布时间,状态,综合评分
1,596136940,摆脱春夏内衣“闷热”！与内衣和解，小胸显大不空杯！,22790190,457226461,0,0,615.38,19,37034.61,2022-05-03 17:09:56.000,,,,0,2022-05-03 17:09:56,无历史数据,1.0018
2,696760524,『从头看她』1920-2020，中国女性发型的百年变迁,15085101,297344797,1950000,7.74,0,0,0,,,,,0,2023-03-30 19:20:00,无历史数据,0.5014
3,292410332,1920-2020 百年变迁，我眼中的中国女性真实之美。,14190477,297344797,1950000,7.28,0,0,0,,,,,0,2021-08-19 17:40:38,无历史数据,0.472
4,1104059218,幸福了…幸福疯了！,6573147,180926019,4620,1422.76,0,0,0,,,,,0,2024-05-05 16:55:06,无历史数据,0.4718
5,116701978955142,穿搭测评交友,14074553,480963436,0,0,0,0,0,,,,,0,2026-06-06 17:00:00,无历史数据,0.467
6,848646785,“他们不像是走秀，倒像是来赴宴的......”| 前方高能·国风大典混剪,13524237,11860785,0,0,0,0,0,,,,,0,2021-10-16 22:32:57,无历史数据,0.449
7,115117454925391,耗时半年复刻电影里灰姑娘公主裙！每个女孩的公主梦都应该被实现呀,12147649,350975070,0,0,0,0,0,,,,,0,2025-08-30 19:29:06,无历史数据,0.404
8,116486660161710,永远都不知道对手是什么“糕手”,11756506,3546591034083329,0,0,0,0,0,,,,,0,2026-04-29 14:53:52,无历史数据,0.3912
9,586587684,Zara今年的衣服绝了，这种请问谁能穿！,11238112,303713614,0,0,0,0,0,,,,,0,2021-02-06 16:48:20,无历史数据,0.3743
10,517202645,海澜之家空中变装,11007022,166326710,0,0,0,0,0,,,,,0,2022-11-02 21:17:01,无历史数据,0.3667
